9.58E-02,4.83E-02,1.00E+00
0.637,0.38,1.0
0.443,0.413,1.0
0.0664,0.401,1.0
0.374,0.421,1.0
0.249,0.377,1.0
0.925,0.907,1.0
0.629,0.67,1.0
0.878,0.962,1.0
0.642,0.163,1.0
0.798,0.749,1.0
0.435,0.374,1.0
0.981,0.454,1.0
0.096,0.0386,1.0
0.527,0.562,1.0
0.546,0.372,1.0
0.284,0.793,1.0
0.371,0.795,1.0
0.0647,0.383,1.0
0.545,0.253,1.0
0.836,0.343,1.0
0.145,0.968,1.0
0.172,0.48,1.0
0.068,0.368,1.0
0.824,0.765,1.0
0.134,0.377,1.0
0.885,0.9,1.0
0.515,0.183,1.0
0.964,0.368,1.0
0.12,0.917,1.0
1.1,0.0483,-1.0
1.64,0.38,-1.0
1.44,0.413,-1.0
1.07,0.401,-1.0
1.37,0.421,-1.0
1.25,0.377,-1.0
1.92,0.907,-1.0
1.63,0.67,-1.0
1.88,0.962,-1.0
1.64,0.163,-1.0
1.8,0.749,-1.0
1.44,0.374,-1.0
1.98,0.454,-1.0
1.1,0.0386,-1.0
1.53,0.562,-1.0
1.55,0.372,-1.0
1.28,0.793,-1.0
1.37,0.795,-1.0
1.06,0.383,-1.0
1.54,0.253,-1.0
1.84,0.343,-1.0
1.15,0.968,-1.0
1.17,0.48,-1.0
1.07,0.368,-1.0
1.82,0.765,-1.0
1.13,0.377,-1.0
1.88,0.9,-1.0
1.51,0.183,-1.0
1.96,0.368,-1.0
1.12,0.917,-1.0
0.0958,1.05,-1.0
0.637,1.38,-1.0
0.443,1.41,-1.0
0.0664,1.4,-1.0
0.374,1.42,-1.0
0.249,1.38,-1.0
0.925,1.91,-1.0
0.629,1.67,-1.0
0.878,1.96,-1.0
0.642,1.16,-1.0
0.798,1.75,-1.0
0.435,1.37,-1.0
0.981,1.45,-1.0
0.096,1.04,-1.0
0.527,1.56,-1.0
0.546,1.37,-1.0
0.284,1.79,-1.0
0.371,1.8,-1.0
0.0647,1.38,-1.0
0.545,1.25,-1.0
0.836,1.34,-1.0
0.145,1.97,-1.0
0.172,1.48,-1.0
0.068,1.37,-1.0
0.824,1.76,-1.0
0.134,1.38,-1.0
0.885,1.9,-1.0
0.515,1.18,-1.0
0.964,1.37,-1.0
0.12,1.92,-1.0
1.1,1.05,1.0
1.64,1.38,1.0
1.44,1.41,1.0
1.07,1.4,1.0
1.37,1.42,1.0
1.25,1.38,1.0
1.92,1.91,1.0
1.63,1.67,1.0
1.88,1.96,1.0
1.64,1.16,1.0
1.8,1.75,1.0
1.44,1.37,1.0
1.98,1.45,1.0
1.1,1.04,1.0
1.53,1.56,1.0
1.55,1.37,1.0
1.28,1.79,1.0
1.37,1.8,1.0
1.06,1.38,1.0
1.54,1.25,1.0
1.84,1.34,1.0
1.15,1.97,1.0
1.17,1.48,1.0
1.07,1.37,1.0
1.82,1.76,1.0
1.13,1.38,1.0
1.88,1.9,1.0
1.51,1.18,1.0
1.96,1.37,1.0
1.12,1.92,1.0
